OBJECTID,DANE,DEPARTAMENTO,Ano2008,Ano2009,Ano2010,Ano2011,Ano2012,ShapeSTArea,ShapeSTLength
1,05,Antioquia,917,999,907,1066,1037,64659520529.3632,1985192.67417367
2,08,Atlántico,590,606,510,544,657,3500916917.61513,246109.868975627
3,11,Bogotá D.C.,1372,1291,1281,1550,1406,1671309136.35655,325737.101288972
4,13,Bolívar,202,250,333,347,424,26932961670.2586,1331045.32107732
5,15,Boyacá,77,87,56,80,70,23737822857.8685,1376616.84729374
6,17,Caldas,164,128,136,131,154,7670592667.77964,607693.293051473
7,18,Caquetá,40,31,39,47,60,90785475151.7498,1894334.48851468
8,19,Cauca,74,68,79,92,113,29923594010.7161,1246936.80915205
9,20,Cesar,100,204,162,182,216,23772666926.0063,1099217.97274141
10,23,Córdoba,179,258,271,312,304,25743033158.1986,825240.020405202
11,25,Cundinamarca,119,143,178,200,204,23113195238.1346,1172847.31999099
12,27,Chocó,25,61,40,35,32,47560221895.665,1813199.3002515
13,41,Huila,96,136,114,123,148,20480176390.0354,933155.323824243
14,44,La Guajira,42,51,80,77,96,21991847389.6871,958001.5342798
15,47,Magdalena,165,193,200,172,224,23740674711.4638,934448.677245628
16,50,Meta,110,65,164,101,124,86200724156.101,1688924.86154846
17,52,Nariño,125,115,123,113,156,33382441409.2309,1017253.59141663
18,54,Norte de Santander,138,112,132,233,299,22007707274.6552,926552.912982695
19,63,Quindío,99,157,175,166,168,1752853714.95323,209259.311876326
20,66,Risaralda,177,157,186,197,228,4097295916.38726,439731.497596358
21,68,Santander,240,387,333,290,363,30903484720.2373,1047677.27752384
22,70,Sucre,89,106,154,126,179,11166880808.9216,700153.370256709
23,73,Tolima,98,122,156,162,197,23686225953.1852,858379.848512788
24,76,Valle del Cauca,923,1024,1463,1046,1031,22355260849.879,999988.009456842
25,81,Arauca,9,10,4,7,20,24599370817.5357,849332.786109509
26,85,Casanare,41,63,31,30,26,45319072130.8191,1108527.8130284
27,86,Putumayo,32,29,31,26,32,24847387407.098,1197116.81833492
28,91,Amazonas,5,8,13,7,12,110601286079.135,2570021.0183245
29,94,Guainía,3,0,1,3,1,72123263736.1148,1882042.83561309
30,95,Guaviare,30,14,21,17,12,56033640358.8598,1559462.40508162
31,97,Vaupés,4,2,1,3,2,53252140066.4662,1668972.1052808
32,99,Vichada,5,3,2,1,2,100716007555.208,1786756.7509692
33,88,San Andrés y Providencia,2,2,10,8,6,51675835.1959395,73470.2817993608
